YSO,MAIN_ID,"RA ( ""h:m:s"" )","DEC ( ""d:m:s"" )",j,h,k
1,2MASS J18184762-1349035,18 18 47.62756,-13 49 03.5761,14.026,13.067,12.683
1,2MASS J18184248-1349029,18 18 42.49146,-13 49 03.0275,14.29,13.208,12.917
1,2MASS J18185138-1346502,18 18 51.39432,-13 46 50.2523,13.87,12.82,12.433
1,2MASS J18183829-1347515,18 18 38.29909,-13 47 51.5207,13.983,12.991,12.873
1,2MASS J18185166-1348078,18 18 51.66240,-13 48 07.9236,14.193,13.329,12.903
1,2MASS J18184446-1349128,18 18 44.45972,-13 49 12.8910,15.042,13.885,13.451
1,2MASS J18183932-1346334,18 18 39.30566,-13 46 33.7480,15.054,13.915,13.508
1,2MASS J18183954-1346281,18 18 39.542,-13 46 28.15,15.013,14.093,13.683
1,2MASS J18183806-1347215,18 18 38.06956,-13 47 21.5133,13.759,12.767,12.417
0,2MASS J18183868-1348186,18 18 38.68047,-13 48 18.4882,15.44,14.528,14.16
1,2MASS J18183970-1348411,18 18 39.72257,-13 48 41.2167,13.013,12.291,11.949
1,2MASS J18184267-1349107,18 18 42.67067,-13 49 10.6362,16.258,15.045,14.165
0,2MASS J18183798-1347086,18 18 37.99089,-13 47 08.6419,15.223,14.125,13.589
1,2MASS J18184596-1349168,18 18 45.96271,-13 49 16.9149,14.766,13.568,12.752
0,2MASS J18183873-1348246,18 18 38.740,-13 48 24.68,16.954,15.284,12.883
1,2MASS J18184976-1348560,18 18 49.78028,-13 48 56.1849,14.423,13.675,12.959
1,2MASS J18183996-1348506,18 18 39.96443,-13 48 50.7818,15.107,14.032,13.724
1,2MASS J18183843-1346404,18 18 38.43783,-13 46 40.4532,13.713,12.715,12.315
1,2MASS J18183795-1348059,18 18 37.94897,-13 48 05.9530,15.748,14.497,13.905
1,2MASS J18184890-1349069,18 18 48.90390,-13 49 06.8747,15.895,14.907,14.463
1,2MASS J18185087-1348434,18 18 50.87740,-13 48 43.4755,13.465,13.156,12.81
1,2MASS J18183815-1348157,18 18 38.15487,-13 48 15.7771,15.765,14.862,14.282
1,2MASS J18184919-1345574,18 18 49.20355,-13 45 57.4171,13.504,12.503,12.156
1,2MASS J18184330-1349205,18 18 43.30182,-13 49 20.5145,15.366,14.286,13.709
1,2MASS J18184834-1349146,18 18 48.35377,-13 49 14.7101,15.178,14.2,13.901
1,2MASS J18183933-1346137,18 18 39.33818,-13 46 13.7913,14.386,13.233,12.753
1,2MASS J18184471-1349255,18 18 44.70475,-13 49 25.7748,14.441,13.31,12.782
1,2MASS J18184026-1345587,18 18 40.26992,-13 45 58.9643,12.26,11.56,11.19
1,2MASS J18183977-1348587,18 18 39.78226,-13 48 58.9351,15.084,14.173,13.715
1,2MASS J18184077-1349101,18 18 40.77579,-13 49 10.1558,14.269,13.251,12.9
0,2MASS J18183734-1346579,18 18 37.34590,-13 46 58.0319,14.403,13.784,13.737
1,2MASS J18183832-1346265,18 18 38.32437,-13 46 26.5605,13.442,12.52,12.129
1,2MASS J18184305-1345366,18 18 43.056,-13 45 36.66,15.163,14.03,13.559
1,2MASS J18185177-1346220,18 18 51.777,-13 46 22.06,16.26,15.3,14.751
1,2MASS J18184542-1345305,18 18 45.42171,-13 45 30.7240,15.494,14.435,14.098
1,2MASS J18183917-1346049,18 18 39.18082,-13 46 04.9319,13.341,12.399,12.011
1,2MASS J18184170-1349238,18 18 41.70838,-13 49 23.8791,15.104,14.032,13.673
1,2MASS J18183871-1348539,18 18 38.71990,-13 48 54.0097,14.236,13.32,13.159
1,2MASS J18183813-1346181,18 18 38.12863,-13 46 18.2699,15.66,14.62,13.944
1,2MASS J18185061-1345535,18 18 50.61656,-13 45 53.5039,15.317,14.338,13.956
1,2MASS J18183973-1345516,18 18 39.73439,-13 45 51.6960,13.803,12.622,11.843
1,2MASS J18183644-1347189,18 18 36.44532,-13 47 18.9237,11.539,,
1,2MASS J18184300-1345277,18 18 43.01292,-13 45 27.7898,14.179,13.183,12.846
1,2MASS J18184063-1345411,18 18 40.63618,-13 45 41.2844,15.585,14.43,13.886
1,2MASS J18185363-1348058,18 18 53.64161,-13 48 05.8849,15.724,14.781,14.278
1,2MASS J18185379-1348010,18 18 53.80864,-13 48 01.0134,14.47,13.343,12.621
1,2MASS J18183703-1348288,18 18 37.04259,-13 48 28.9476,15.345,14.222,13.781
