MAIN_ID,RAJ2000 ( deg ),DEJ2000 ( deg ),j,h,k
02585074+0054033,44.711441,0.900936,16.705,16.171,15.144
02584325+0055190,44.680218,0.921948,16.636,16.234,15.805
02585788+0055510,44.741205,0.930836,15.968,15.229,15.084
02585796+0055564,44.741519,0.932336,15.116,14.549,14.174
02585012+0055496,44.708862,0.930469,15.942,15.299,15.03
02584779+0056032,44.699135,0.934237,12.447,11.943,11.916
02585426+0057347,44.726103,0.959646,16.023,15.426,15.008
02591634+0054391,44.818091,0.910868,14.903,14.157,13.947
02591685+0054530,44.820244,0.91474,12.415,11.788,11.706
02591170+0055328,44.798761,0.925794,15.889,15.404,15.151
02591772+0056488,44.823865,0.946904,15.389,14.715,14.627
02592059+0057091,44.835816,0.952546,12.536,11.899,11.663
02593116+0056554,44.879857,0.948738,16.522,15.633,15.569
02592618+0056401,44.859085,0.944488,16.033,15.358,15.224
02592851+0057182,44.868817,0.955077,9.535,8.938,8.788
02592635+0059121,44.859796,0.986722,16.52,15.716,16.404
02591157+0058406,44.798223,0.977952,15.667,14.877,14.484
02590242+0058049,44.760095,0.968037,16.278,15.541,15.361
02590502+0059480,44.770946,0.996676,13.78,13.273,13.114
02591348+0059113,44.806184,0.986475,15.962,15.32,15.122
02592150+0059472,44.839615,0.99646,16.22,15.753,15.529
02591218+0100146,44.80078,1.004081,14.93,14.255,14.139
02591734+0100231,44.822285,1.00644,14.599,13.876,13.696
02591476+0100451,44.81152,1.012532,15.444,14.777,14.365
02591252+0100456,44.802202,1.012692,16.483,15.863,15.406
02595687+0055318,44.986988,0.92551,16.382,15.898,15.493
02595106+0055392,44.962763,0.92758,14.947,14.24,14.014
02595200+0055594,44.966671,0.933189,14.825,14.281,14.132
02595643+0057135,44.985136,0.95376,14.25,13.762,13.673
02595707+0057125,44.987808,0.95348,16.54,15.923,15.435
02595961+0057395,44.9984,0.960993,17.249,16.107,15.778
03001025+0056543,45.042749,0.948439,15.518,14.8,14.197
03001403+0057027,45.05847,0.95077,15.51,14.721,14.696
03000832+0057408,45.034676,0.961337,16.312,16.144,14.961
03001013+0058004,45.042243,0.966789,15.687,15.015,14.667
03001744+0058133,45.072691,0.970375,5.853,5.321,5.17
03000711+0058193,45.029635,0.972035,15.862,15.449,15.393
03000257+0059515,45.010714,0.997651,15.365,15.024,15.045
03000151+0100046,45.006319,1.0013,13.851,13.263,12.954
02595948+0100121,44.997842,1.003379,15.993,15.621,15.099
03000534+0059240,45.022252,0.99,10.161,9.849,9.77
03000335+0100395,45.013976,1.010985,16.775,15.695,15.269
02595190+0100053,44.966272,1.001492,16.658,16.397,15.582
03000020+0101089,45.000867,1.019166,16.491,16.013,15.836
03000352+0101330,45.014696,1.025857,13.912,13.561,13.447
02595507+0101319,44.979474,1.025553,16.411,16.244,15.121
02595563+0101425,44.981819,1.028481,16.492,15.758,15.492
03001942+0058559,45.080948,0.982219,14.672,14.157,14.019
03002398+0100458,45.099917,1.012727,14.153,14.037,13.831
03001503+0059592,45.062661,0.999788,16.104,15.357,14.584
03001313+0059545,45.054719,0.998497,15.849,15.086,14.715
03001986+0100487,45.082778,1.01353,15.344,14.748,14.345
03002197+0101144,45.091556,1.020668,16.571,15.781,15.799
03003133+0102098,45.130568,1.036078,15.04,14.264,13.925
03003167+0102142,45.131962,1.037278,15.684,14.962,14.817
03003075+0102228,45.128161,1.039678,16.691,15.965,15.523
03004000+0102445,45.166699,1.045721,14.472,14.128,14.052
03003675+0102388,45.153155,1.044115,14.348,13.859,13.717
03003756+0103109,45.156504,1.053044,16.921,16.257,15.465
03002846+0102476,45.118586,1.046582,10.667,10.238,10.119
03002287+0102574,45.095332,1.049302,16.493,15.745,15.113
03001769+0102074,45.073732,1.035406,15.831,15.245,14.979
03001250+0102579,45.052115,1.049438,10.909,10.382,10.288
03000342+0102313,45.014262,1.042052,14.377,13.997,13.884
03000348+0102422,45.014534,1.045063,15.6,14.893,14.885
03000332+0102502,45.013848,1.04729,11.983,11.622,11.536
03000214+0102535,45.008928,1.048215,16.648,15.933,15.094
03001152+0103281,45.048007,1.057821,14.41,13.826,13.715
03001212+0104152,45.050535,1.070894,15.807,15.086,15.227
03001621+0103497,45.067556,1.06383,13.589,13.235,13.211
02593874+0058165,44.911435,0.971259,16.193,15.997,15.094
02593960+0059337,44.91502,0.992718,14.985,14.359,14.248
02594320+0100171,44.93003,1.004752,15.381,14.792,14.479
02593944+0102038,44.914342,1.034404,16.704,15.692,15.304
02593979+0102047,44.915803,1.034641,16.94,16.355,15.783
02594713+0101047,44.946394,1.017994,17.167,16.135,15.807
02595534+0102018,44.980584,1.033848,15.292,14.615,14.415
02595448+0102439,44.97702,1.04553,14.476,13.904,13.691
02595512+0103331,44.979668,1.059198,13.271,12.64,12.445
02594620+0102535,44.942521,1.048215,12.24,11.977,11.931
02595073+0103045,44.9614,1.051252,16.231,15.33,14.689
02593713+0102561,44.904718,1.048944,16.703,15.534,14.936
02594151+0104205,44.922971,1.072378,14.253,13.949,13.856
02594390+0104542,44.932951,1.081724,12.431,12.133,12.03
02594193+0105084,44.92471,1.085681,15.965,15.349,14.659
02593174+0105369,44.882266,1.093599,15.827,15.548,15.56
03000292+0103374,45.012167,1.060393,17.068,15.782,15.695
03000198+0103407,45.008255,1.061328,14.646,14.486,14.479
03000522+0103576,45.021768,1.066006,16.099,15.62,15.159
03000284+0105039,45.011852,1.084443,16.714,16.057,17.01
03000236+0105071,45.00986,1.085309,16.119,15.291,15.343
02595603+0105577,44.983472,1.099379,16.156,15.585,15.506
03000792+0105337,45.033017,1.09272,15.57,14.853,14.478
03001659+0107241,45.069142,1.123369,15.501,14.957,14.813
03000618+0106367,45.025787,1.110198,10.659,10.412,10.31
03000805+0106480,45.03356,1.113361,16.305,15.888,15.586
03000069+0107079,45.002908,1.118877,16.339,15.722,15.051
03000406+0107401,45.016938,1.127827,15.809,15.255,15.118
03001035+0109124,45.043143,1.153464,16.984,16.265,15.941
02595229+0107065,44.967877,1.118473,16.754,15.866,15.214
02594313+0106447,44.929745,1.112432,13.833,13.223,13.03
02594459+0107042,44.935797,1.117856,16.652,15.857,15.74
02594902+0107282,44.954266,1.12452,15.338,14.593,14.466
02594868+0108118,44.952835,1.136634,15.618,15.067,14.944
02594926+0108213,44.95526,1.139259,15.315,14.741,14.67
02595136+0108439,44.964011,1.14555,14.271,13.834,13.678
02594914+0109097,44.954788,1.15272,13.836,13.203,12.955
02595832+0108427,44.993016,1.145219,13.665,13.224,13.239
03000532+0109320,45.022205,1.158908,16.022,15.42,15.044
02595967+0109263,44.998645,1.157329,13.317,12.975,12.928
02595207+0109329,44.966981,1.159139,14.384,13.653,13.497
02595368+0109368,44.973701,1.16023,16.642,14.98,14.955
03000362+0110158,45.015115,1.171076,15.854,15.492,15.503
03000172+0110447,45.007204,1.179108,15.405,14.787,14.608
03000014+0111108,45.000612,1.186335,16.35,15.694,15.149
03024860+0035543,45.702524,0.598425,16.668,16.299,15.445
03025411+0037122,45.725463,0.62007,15.613,15.088,14.937
03025365+0037085,45.72358,0.619045,12.995,12.65,12.552
03024298+0038517,45.679108,0.647701,16.81,16.068,15.797
03025835+0039495,45.743137,0.663773,16.262,15.465,15.108
03030543+0039407,45.772649,0.661315,16.797,16.047,15.364
03030344+0039583,45.764349,0.66621,15.082,14.782,14.819
03025386+0040015,45.724442,0.667098,10.148,9.557,9.429
03025673+0040418,45.736392,0.6783,16.61,16.505,15.66
03030365+0041163,45.765212,0.687882,16.021,15.508,15.332
03030068+0041162,45.752864,0.687854,16.965,16.329,15.978
03025893+0041262,45.745542,0.690637,16.157,15.704,15.706
03030104+0042000,45.75437,0.700012,15.689,15.201,14.941
03023959+0038447,45.664972,0.645759,16.676,16.017,15.438
03024076+0039394,45.669839,0.660967,16.352,15.758,15.382
03024934+0041261,45.705589,0.690594,11.145,10.508,10.385
03025157+0041343,45.714901,0.692882,17.377,16.907,15.88
03023916+0042372,45.663167,0.710359,16.685,16.093,15.808
03024013+0042433,45.667242,0.712053,10.323,9.948,9.955
03024841+0043483,45.701734,0.730089,16.744,16.141,15.893
03031162+0040413,45.798458,0.678166,14.472,14.147,14.092
03030903+0041169,45.787632,0.688035,17.008,16.042,16.007
03031141+0042006,45.797558,0.700188,15.321,14.866,14.866
03030608+0043044,45.775351,0.717907,16.429,15.692,15.241
03030797+0043025,45.78324,0.717363,15.243,14.626,14.474
03031009+0043246,45.792082,0.723518,16.751,16.601,15.82
03030722+0043534,45.780117,0.731502,10.614,10.314,10.195
03030937+0043518,45.789043,0.731063,14.585,14.319,14.303
03031992+0044025,45.83302,0.734036,12.273,11.734,11.558
03031820+0044179,45.825853,0.738316,15.744,15.256,15.267
03032535+0045261,45.855649,0.757267,16.556,15.975,15.277
03031448+0045251,45.810338,0.75698,14.571,14.113,13.898
03032027+0045024,45.834497,0.750681,17.341,16.475,16.022
03025508+0043440,45.729538,0.728889,16.03,15.281,14.702
03030496+0043538,45.770675,0.731613,16.774,16.393,16.067
03030410+0044267,45.767091,0.740771,15.716,15.183,15.034
03030165+0045010,45.756882,0.750301,16.955,16.506,15.785
03030478+0045348,45.769946,0.759687,12.579,12.181,12.099
03025260+0044085,45.719176,0.735715,15.376,14.701,14.444
03031004+0044588,45.791845,0.749669,14.429,14.157,14.089
03030210+0046417,45.758773,0.778273,16.477,15.892,16.184
03030129+0046407,45.755387,0.777984,15.197,14.622,14.393
03031017+0047566,45.792388,0.799082,16.632,16.028,16.107
03023107+0041086,45.629464,0.685749,14.126,13.386,13.232
03022753+0042088,45.614742,0.702458,16.074,15.332,15.031
03022771+0042175,45.615464,0.704864,15.927,15.478,15.168
03023569+0043029,45.64872,0.717497,15.71,14.914,14.495
03022268+0042045,45.594511,0.701273,16.621,16.045,15.152
03023140+0043323,45.630858,0.725643,11.66,11.105,10.936
03022722+0044194,45.613437,0.738747,16.759,16.046,15.525
03023597+0044527,45.6499,0.747992,15.922,15.496,15.325
03023470+0044580,45.644609,0.749472,16.386,15.762,15.587
03023876+0044557,45.661526,0.748831,16.609,15.763,15.71
03023816+0045143,45.659026,0.753973,16.428,15.854,15.706
03023796+0045199,45.658178,0.755539,14.224,13.722,13.662
03023564+0045336,45.64852,0.759353,16.011,15.565,15.225
03023593+0045322,45.649709,0.75897,14.251,14.008,13.895
03022248+0045125,45.593705,0.753493,14.926,14.286,14.095
03022065+0045139,45.586043,0.753876,16.472,15.804,15.471
03021254+0044483,45.552259,0.746754,16.263,15.555,15.414
03021791+0045254,45.574654,0.757058,13.639,13.277,13.243
03022020+0046131,45.584206,0.770312,16.268,15.745,15.1
03022800+0045544,45.616694,0.765117,17.072,16.434,15.788
03022424+0045393,45.601019,0.760935,16.814,15.972,16.973
03022660+0045520,45.610844,0.764469,15.723,15.063,14.581
03023282+0046222,45.636756,0.77286,16.527,15.76,15.648
03022041+0046197,45.585073,0.772159,17.112,16.399,15.764
03022846+0047540,45.618604,0.798336,16.772,16.021,15.94
03022355+0048210,45.59813,0.805846,16.969,16.183,15.377
03024813+0044561,45.700557,0.748928,12.718,12.309,12.223
03025058+0045315,45.710785,0.758766,15.794,15.473,15.429
03024538+0046096,45.689112,0.769339,15.182,14.619,14.392
03024873+0046477,45.70308,0.77993,17.322,16.769,15.831
03025010+0046441,45.708788,0.778939,16.335,15.608,15.585
03025259+0047324,45.719136,0.792349,15.296,14.727,14.438
03024427+0046292,45.684476,0.774792,14.623,13.989,13.73
03024226+0046191,45.676109,0.771987,17.034,16.497,16.261
03024765+0047479,45.69858,0.796664,13.777,13.356,13.252
03024896+0048490,45.704027,0.813636,13.707,13.094,12.884
03025870+0049021,45.744612,0.817268,15.218,14.917,14.671
03030447+0048094,45.768653,0.802629,14.644,13.985,13.81
03030696+0049014,45.779026,0.817057,16.527,15.984,15.424
03030830+0049104,45.784624,0.819582,15.191,14.448,14.233
03025453+0050016,45.727226,0.833798,16.576,15.975,15.486
03025974+0050165,45.748926,0.83792,16.237,15.709,15.79
03025789+0051027,45.741233,0.850751,16.812,16.405,15.609
03023748+0047406,45.656181,0.794614,16.438,15.84,15.279
03023668+0048167,45.652867,0.804664,14.58,13.993,13.853
03023625+0049326,45.651053,0.825739,16.547,16.132,15.854
03024100+0049544,45.670862,0.831795,16.399,15.847,15.726
03023521+0049563,45.646709,0.832316,16.71,15.91,15.402
03023760+0050552,45.656697,0.848682,8.919,8.688,8.588
03025368+0050214,45.723673,0.839301,17.016,16.116,15.39
03025353+0051041,45.723057,0.85116,14.535,13.764,13.61
03025438+0052105,45.726599,0.869598,16.503,15.96,15.415
03024002+0051109,45.666787,0.853034,15.787,15.18,14.895
03024254+0051429,45.677266,0.861926,17.329,16.064,15.583
03024666+0052076,45.694442,0.868789,16.573,15.958,15.355
03025082+0052553,45.711765,0.882047,16.815,16.185,15.734
03033052+0045162,45.877171,0.754503,16.66,16.546,15.313
03033224+0045592,45.884364,0.766469,13.449,13.125,12.993
03032919+0047088,45.871644,0.785791,16.904,16.373,16.831
03032466+0046594,45.852782,0.783181,13.901,13.343,13.248
03032373+0047295,45.848903,0.791548,16.521,16.436,15.749
03032961+0048092,45.873381,0.802561,14.754,14.121,13.85
03033638+0048425,45.901604,0.811819,17.263,16.322,15.334
03033950+0048526,45.914594,0.81462,16.796,16.003,15.686
03034011+0048593,45.91713,0.816473,16.921,16.159,14.992
03033347+0049069,45.889483,0.818586,14.359,13.747,13.589
03033366+0049105,45.890286,0.819586,14.342,13.733,13.536
03033684+0049352,45.903531,0.826463,15.515,14.898,14.689
03033796+0050432,45.90819,0.845342,14.887,14.304,13.98
03032508+0048323,45.854512,0.808978,14.844,14.488,14.41
03032630+0049053,45.859612,0.818148,17.062,16.514,15.856
03032454+0049011,45.852253,0.816978,16.637,16.3,15.972
03032489+0050248,45.853731,0.840228,10.362,9.881,9.803
03033512+0050350,45.896339,0.843056,17.125,16.151,17.034
03032556+0050264,45.856537,0.840678,13.532,13.085,13.073
03032582+0050455,45.857606,0.845995,16.744,15.712,15.548
03032718+0051246,45.863282,0.856848,17.177,16.647,16.388
03033214+0053178,45.883942,0.888302,16.999,16.052,15.257
03035104+0049592,45.962704,0.833124,12.487,11.978,11.949
03035646+0050200,45.985255,0.83889,16.864,15,14.579
03035551+0050561,45.981316,0.848942,16.446,16.138,16.039
03034882+0051311,45.953426,0.858648,15.124,14.722,14.787
03034484+0051150,45.936858,0.854175,16.887,16.326,15.422
03034720+0052194,45.94669,0.87207,15.511,14.981,15.066
03035514+0053033,45.979759,0.884257,17.415,16.392,15.585
03040143+0052029,46.005995,0.867499,17.357,16.677,15.342
03040298+0052106,46.012429,0.869619,14.284,13.785,13.724
03040082+0052301,46.003433,0.87504,15.582,15.094,15.206
03040324+0053194,46.013506,0.888746,15.807,15.233,14.895
03040755+0054049,46.031476,0.901386,16.715,15.859,15.308
03035691+0053334,45.987142,0.892623,13.823,13.5,13.395
03035386+0053323,45.97443,0.892329,16.617,15.758,15.542
03035770+0053501,45.990439,0.897273,14.904,14.335,14.063
03035722+0053570,45.988447,0.899181,16.936,16,15.273
03040477+0054587,46.019902,0.916319,13.964,13.522,13.47
03040000+0054490,46.000022,0.913621,16.55,15.745,15.621
03033871+0052307,45.911326,0.875208,16.615,15.988,15.683
03033538+0054238,45.897446,0.906612,16.859,16.141,15.72
03034635+0055132,45.943138,0.920342,12.953,12.274,12.121
03034715+0055491,45.946468,0.93032,14.518,14.159,14.048
03034299+0055485,45.929136,0.93016,14.283,13.992,13.92
03035252+0056472,45.968869,0.946457,14.84,14.11,13.908
03035518+0056501,45.979951,0.94725,17.374,16.657,15.898
03035254+0057103,45.968926,0.952874,16.78,16.004,15.79
03035093+0057500,45.962244,0.963902,11.457,11.097,11.032
03030911+0049424,45.787962,0.828455,11.44,11.166,11.09
03030625+0050109,45.776078,0.836368,15.946,15.492,15.079
03031266+0050574,45.802766,0.84928,16.66,16.059,15.587
03030336+0051107,45.764002,0.852996,14.335,13.861,13.54
03031024+0052208,45.792673,0.872457,14.687,14.305,14.291
03031368+0052186,45.807016,0.871858,14.005,13.554,13.499
03031298+0052294,45.804096,0.874835,15.898,15.096,14.944
03031114+0053078,45.796456,0.885505,17.087,16.387,16.047
03031837+0052409,45.826576,0.878055,17.088,16.002,15.452
03032523+0053115,45.855136,0.886546,16.871,16.108,15.329
03032792+0053308,45.86634,0.891893,16.896,16.136,15.998
03033029+0053374,45.876218,0.893731,15.811,15.231,14.966
03032697+0053450,45.862386,0.895845,16.413,15.674,14.999
03032711+0053560,45.862966,0.898906,16.858,15.837,15.301
03032469+0054020,45.8529,0.900564,14.144,13.534,13.319
03031305+0054200,45.804409,0.90556,11.142,10.342,9.982
03031927+0054304,45.83032,0.908467,15.941,15.197,15.1
03031798+0054383,45.824953,0.910664,15.267,14.593,13.924
03030173+0054119,45.757216,0.903318,16.54,16.311,15.883
03025487+0053199,45.72866,0.888881,14.443,13.865,13.799
03025161+0054170,45.715054,0.904745,16.684,16.372,15.696
03025479+0054322,45.728305,0.908972,14.69,14.001,13.955
03025930+0055220,45.747112,0.922779,15.715,15.161,14.868
03030167+0055261,45.756982,0.923943,17.04,16.77,15.477
03025922+0055408,45.746784,0.928012,15.569,14.932,14.733
03031127+0054023,45.796967,0.900666,12.763,12.254,12.004
03031176+0054584,45.79902,0.916233,14.597,14.216,14.122
03030768+0054306,45.782021,0.908521,16.552,15.833,15.581
03030835+0054438,45.78481,0.912191,14.46,13.702,13.344
03030941+0055223,45.789216,0.922874,17.009,16.184,15.933
03031500+0056464,45.812534,0.946249,14.875,14.355,14.267
03030245+0056333,45.760221,0.942593,15.879,15.112,14.901
03030487+0056541,45.770302,0.948376,14.829,14.253,14.059
03030910+0056268,45.787943,0.940799,16.62,15.962,15.231
03032966+0054264,45.873597,0.907342,15.927,15.332,15.262
03033101+0054430,45.87923,0.911959,16.135,15.426,15.181
03034073+0055498,45.919718,0.930526,12.552,12.151,12.119
03033373+0055568,45.890543,0.932467,16.023,15.548,15.541
03032362+0055323,45.848438,0.925661,16.705,16.379,15.627
03033160+0056539,45.881693,0.948318,17.042,16.705,15.403
03033619+0057207,45.900805,0.955777,15.372,14.841,14.668
03033735+0057447,45.905646,0.962422,17.313,15.973,15.373
03033257+0058322,45.885743,0.975624,16.012,15.5,15.704
03031679+0056433,45.819966,0.945383,13.985,13.249,13.121
03031794+0057001,45.824772,0.95003,16.843,16.165,16.151
03031848+0057435,45.827002,0.962089,16.492,15.64,15.04
03032902+0058240,45.870927,0.973344,16.059,15.633,16.018
03032434+0057560,45.851433,0.965575,18.939,15.977,17.229
03032219+0058144,45.842499,0.970678,17.155,16.468,15.375
03031257+0057401,45.802389,0.961144,16.03,15.649,15.397
03033302+0058412,45.887584,0.978116,15.764,15.211,14.91
03032924+0058400,45.871835,0.97778,16.709,16.163,16.04
03033526+0059475,45.896939,0.996529,12.322,11.932,11.831
03033371+0101127,45.89046,1.020203,15.116,14.868,14.781
03033588+0101306,45.899519,1.025193,15.234,14.806,14.766
03033429+0101284,45.892913,1.02457,17.061,16.464,15.995
03020602+0044547,45.525105,0.748533,16.671,16.563,15.909
03020829+0045298,45.534557,0.758292,17.146,16.365,15.829
03020953+0045325,45.53973,0.759034,15.751,15.119,15.067
03020980+0046140,45.540837,0.770567,14.385,13.75,13.538
03020292+0046004,45.512169,0.766799,14.414,13.672,13.565
03021104+0046527,45.546037,0.781309,15.811,15.119,14.518
03021369+0047393,45.557053,0.794268,15.38,15.019,14.949
03021133+0047277,45.547222,0.791034,16.83,16.195,15.903
03020127+0046364,45.505332,0.776779,14.442,13.863,13.626
03020376+0047196,45.515696,0.788793,16.852,15.873,15.918
03015963+0046489,45.498493,0.780267,14.603,14.161,14.06
03021147+0048366,45.547793,0.810182,15.3,14.643,14.387
03021207+0049271,45.550309,0.824215,14.594,13.947,13.69
03021440+0050101,45.56002,0.836166,16.242,15.783,15.045
03021929+0050525,45.580412,0.847936,17.057,16.119,15.997
03015573+0049079,45.482217,0.818863,15.896,15.089,14.986
03020443+0049597,45.518467,0.833257,17.163,16.621,15.82
03021199+0051043,45.549971,0.851196,16.31,15.638,15.318
03021332+0051483,45.555537,0.863421,16.141,15.679,15.42
03020101+0050374,45.504213,0.84374,16.883,16.537,15.347
03020098+0051344,45.504095,0.859582,14.786,14.176,13.908
03020354+0051595,45.51479,0.866554,16.085,15.405,14.891
03020466+0052509,45.51945,0.880821,14.559,14.312,14.116
03020703+0053010,45.529317,0.88363,17.136,17.156,17.247
03022840+0050093,45.618371,0.835942,14.44,13.695,13.577
03022825+0051101,45.617712,0.852819,16.342,15.699,15.359
03023433+0051572,45.643064,0.865905,11.944,11.685,11.609
03022049+0050562,45.585377,0.848962,15.648,15.008,14.814
03022142+0052079,45.589256,0.868881,16.658,15.985,15.897
03024195+0052373,45.67481,0.877031,15.308,14.525,14.261
03023600+0052289,45.650031,0.874711,16.026,15.388,15.074
03023482+0052424,45.645089,0.878453,15.945,15.201,15.113
03023643+0053021,45.65182,0.883925,15.866,15.222,15.014
03024489+0053054,45.687072,0.884856,11.908,11.347,11.191
03024557+0053225,45.689881,0.889586,16.242,15.817,15.346
03024407+0053523,45.683661,0.897878,16.308,15.693,15.637
03023673+0054203,45.65307,0.905639,14.665,14.022,13.966
03021585+0051487,45.566072,0.863541,14.766,14.282,14.136
03021671+0053044,45.569665,0.884561,16.274,15.486,15.206
03022404+0053112,45.600176,0.886463,17.168,16.516,16.165
03021052+0053220,45.543849,0.889448,16.055,15.635,15.172
03021366+0055076,45.556945,0.918804,16.912,16.849,16.792
03022787+0055257,45.616147,0.923814,16.763,15.97,15.262
03022572+0056538,45.607198,0.948294,16.36,15.558,15.013
03014794+0049472,45.449776,0.829794,11.992,11.764,11.716
03014498+0050161,45.43742,0.837814,14.746,14.011,13.905
03014376+0051022,45.432353,0.850616,15.202,14.738,14.691
03015421+0051488,45.475894,0.863562,14.92,14.288,13.772
03013710+0051331,45.404591,0.859202,14.783,14.506,14.306
03014948+0052372,45.456205,0.877025,15.459,15.08,14.944
03015676+0052049,45.486523,0.868048,14.725,14.126,13.906
03015575+0052546,45.482323,0.881839,16.274,15.734,15.32
03020183+0053386,45.507645,0.894071,17.193,16.258,16.109
03014952+0053561,45.456337,0.898939,16.541,16.018,15.305
03015689+0054362,45.487083,0.910067,12.007,11.73,11.682
03013660+0052124,45.402538,0.87013,15.074,14.72,14.575
03013559+0052269,45.398298,0.874151,16.637,16.501,17.011
03013512+0053050,45.396343,0.884737,15.268,14.805,14.448
03013501+0053447,45.395913,0.895767,14.975,14.488,14.422
03013374+0054064,45.390594,0.901797,14.775,14.087,13.859
03014941+0054532,45.455879,0.914784,13.538,13.248,13.175
03014158+0055575,45.423264,0.932642,14.196,13.935,13.798
03014119+0056480,45.421631,0.946689,16.565,15.993,15.302
03014056+0056457,45.419025,0.946041,16.369,15.929,15.822
03020706+0053576,45.529422,0.899361,15,14.349,14.142
03020989+0054479,45.541216,0.913323,14.856,14.335,14.158
03020845+0055055,45.535246,0.918214,17.053,16.414,15.848
03021153+0056359,45.548051,0.943312,16.764,16.274,15.632
03020155+0055332,45.506473,0.925904,16.91,16.405,15.915
03020334+0055531,45.513957,0.931429,16.011,15.295,15.29
03015907+0055297,45.496129,0.924919,15.692,15.087,14.721
03015964+0055424,45.498503,0.928448,16.912,16.348,15.44
03020207+0056153,45.508628,0.937593,17.06,16.158,15.838
03020150+0056479,45.506283,0.946651,14.24,13.923,13.834
03020975+0057147,45.540635,0.954084,16.821,16.402,15.984
03021550+0056389,45.564591,0.944146,15.325,14.706,14.565
03021318+0057091,45.554934,0.952551,16.026,15.341,15.112
03022356+0058454,45.598196,0.979304,14.686,13.922,13.452
03021168+0057083,45.548695,0.95232,16.48,15.914,15.494
03021203+0058267,45.550132,0.974093,17.063,15.915,15.135
03021045+0058553,45.543551,0.982028,15.239,14.546,14.473
03015588+0058006,45.482859,0.966852,13.857,13.388,13.328
03020235+0057560,45.509809,0.965579,14.867,14.215,13.969
03015906+0058285,45.496121,0.974596,16.075,15.294,14.713
03020075+0058405,45.503158,0.977943,13.595,12.919,12.723
03020048+0058504,45.50203,0.980667,18.475,15.648,15.458
03015250+0058116,45.468755,0.969911,14.502,13.847,13.669
03015390+0058449,45.474588,0.979151,16.66,17.424,15.93
03020825+0100280,45.534412,1.007783,15.586,14.907,14.782
03021216+0101067,45.550702,1.018537,16.406,15.778,15.598
03020101+0059468,45.504231,0.996354,12.836,12.457,12.365
03020119+0100471,45.504988,1.013101,17.047,15.973,15.175
03020256+0100572,45.510683,1.015912,16.982,16.127,15.481
03020566+0101597,45.523619,1.033255,15.5,14.881,14.758
03025032+0055427,45.709674,0.928554,16.142,15.378,14.772
03024316+0055055,45.679853,0.918214,17.194,16.694,15.474
03024693+0055524,45.695573,0.931244,16.432,15.409,14.829
03025253+0057080,45.718881,0.95224,16.375,15.992,15.476
03024597+0057042,45.691568,0.951172,15.456,14.869,14.787
03030068+0056524,45.752867,0.947907,16.612,16.023,15.932
03025956+0058275,45.748207,0.97432,16.249,16.084,15.935
03023839+0056490,45.659965,0.946953,16.603,16.187,15.955
03024044+0057172,45.668505,0.954789,15.988,15.496,15.121
03024636+0057550,45.693196,0.965291,17.072,16.718,15.641
03024554+0058070,45.689754,0.968625,17.179,16.626,15.835
03024451+0058391,45.685481,0.977531,16.053,15.324,15.136
03022946+0058060,45.622779,0.968353,15.086,14.477,14.357
03024069+0059360,45.669575,0.99335,16.968,16.523,15.918
03024726+0059084,45.696943,0.985694,16.806,16.075,15.962
03024603+0059197,45.691793,0.988816,15.297,14.678,14.575
03024900+0059583,45.704189,0.999535,16.469,15.922,15.804
03025327+0100362,45.721985,1.010064,15.544,14.994,14.749
03025221+0100497,45.717573,1.013812,16.019,15.432,14.827
03024603+0101026,45.691799,1.017402,14.089,13.416,13.271
03030924+0100091,45.788536,1.002538,16.124,15.531,15.572
03031619+0100014,45.817473,1.000408,17.315,16.166,15.667
03031305+0100426,45.804402,1.011841,15.781,15.077,14.822
03030607+0100092,45.775307,1.002579,16.335,15.641,15.266
03031276+0101220,45.803182,1.022797,14.979,14.37,14.189
03031078+0101253,45.794948,1.023719,15.755,15.206,14.861
03030744+0101043,45.781013,1.017888,14.614,14.199,14.036
03031877+0102177,45.828235,1.038261,14.594,13.993,13.873
03032041+0102275,45.835044,1.040997,17.101,16.621,15.724
03032040+0102400,45.835028,1.044453,16.805,16.042,15.554
03032624+0102455,45.85937,1.045995,15.156,14.751,14.525
03032378+0102362,45.849093,1.043406,16.997,16.278,15.961
03031573+0102039,45.815545,1.034441,16.964,16.152,15.705
03031518+0102595,45.813258,1.049875,7.705,7.043,6.907
03031593+0103267,45.81638,1.057444,16.216,15.754,15.296
03025624+0101420,45.734367,1.028342,16.908,16.127,16.183
03025629+0101588,45.734581,1.033019,15.11,14.842,14.998
03030312+0103179,45.763017,1.054993,16.22,15.768,15.572
03025760+0102462,45.740009,1.046179,15.906,15.282,15.226
03030098+0103316,45.754116,1.058793,14.867,14.24,13.97
03025908+0103479,45.746206,1.063315,14.956,14.388,14.024
03031007+0103053,45.791999,1.051499,14.641,13.984,13.729
03031788+0104510,45.82452,1.080844,15.035,14.398,14.183
03031058+0104522,45.794104,1.081169,14.936,14.202,14.022
03030182+0104526,45.757602,1.081304,15.868,15.416,15.416
03030154+0104548,45.756452,1.081907,15.687,15.309,14.986
03030896+0105234,45.787356,1.089841,16.901,16.209,16.067
03030893+0106493,45.787225,1.113713,15.415,14.85,14.557
03023493+0100091,45.645556,1.002538,16.422,15.904,15.68
03022255+0100082,45.593997,1.002304,12.638,11.995,11.753
03022067+0100128,45.586129,1.003565,16.828,16.167,15.183
03022195+0100276,45.591474,1.007682,14.864,14.228,13.982
