MAIN_ID,RAJ2000 ( deg ),DEJ2000 ( deg ),j,h,k
02571976+0036030,44.332349,0.600854,16.457,15.991,16.794
02573042+0036266,44.37677,0.6074,16.596,16.233,16.228
02573969+0037451,44.41539,0.629195,15.823,15.153,14.951
02572834+0037155,44.36811,0.620996,11.59,11.331,11.229
02572477+0038344,44.353241,0.642906,16.099,15.279,15.012
02573187+0038362,44.382807,0.643392,15.537,15.177,15.107
02574868+0036535,44.452866,0.614879,15.8,15.221,14.923
02574860+0037045,44.452516,0.617918,16.24,15.72,15.64
02574756+0038296,44.448208,0.641565,15.696,15.151,14.988
02574976+0039029,44.457366,0.650807,16.225,15.529,15.479
02580246+0039075,44.510262,0.652093,15.304,14.64,14.428
02580252+0040297,44.510538,0.674918,15.774,15.129,15.217
02580273+0041057,44.511395,0.684943,16.792,16.237,15.97
02574584+0039201,44.441039,0.655592,15.006,14.402,14.216
02574234+0039031,44.426438,0.650882,15.849,15.296,14.777
02573943+0039254,44.414303,0.657079,14.341,13.758,13.694
02574850+0040402,44.452102,0.677851,17.002,16.123,15.617
02574756+0040450,44.448182,0.67917,15.849,15.019,14.508
02573545+0039595,44.39771,0.666549,15.808,15.169,15.095
02573608+0040561,44.400339,0.682272,16.512,16.289,15.631
02574288+0040498,44.428694,0.680527,13.525,13.062,12.898
02574301+0042041,44.429233,0.701152,15.409,14.832,14.583
02575191+0041308,44.466321,0.691889,16.375,15.591,14.572
02574935+0042213,44.455638,0.705927,16.135,15.894,15.089
02574754+0042419,44.44812,0.711651,16.942,15.289,15.269
02575569+0043085,44.482056,0.719029,16.56,15.887,15.525
02583356+0036475,44.639867,0.613196,16.237,15.967,15.708
02583438+0037546,44.643256,0.631854,15.965,15.202,15.085
02584897+0039070,44.704073,0.651949,16.433,15.637,15.467
02584430+0039434,44.684585,0.662065,16.568,15.617,15.69
02585075+0040297,44.711471,0.674928,13.465,12.793,12.566
02585033+0041014,44.709709,0.683741,16.634,15.752,15.598
02584000+0040033,44.666705,0.6676,16.643,15.905,15.462
02584200+0040314,44.675035,0.675391,12.208,11.751,11.687
02582523+0038093,44.605132,0.635939,17.048,16.372,15.816
02582443+0038152,44.601815,0.63758,15.651,15.382,14.933
02582583+0039246,44.607656,0.65685,14.788,14.361,14.197
02583016+0040113,44.625678,0.669833,15.692,15.54,15.098
02583045+0041180,44.62688,0.688358,15.951,15.397,15.501
02581874+0040432,44.578113,0.67869,16.267,15.031,14.4
02582072+0041179,44.586372,0.688324,15.394,14.875,14.647
02582234+0041418,44.593084,0.694969,16.427,15.856,15.053
02584271+0041582,44.677985,0.699514,12.31,12.012,11.935
02582769+0042002,44.615381,0.700074,16.593,15.642,15.325
02582948+0042379,44.622835,0.710552,15.651,15.621,15.064
02582878+0043016,44.619928,0.717138,15.151,14.469,14.094
02582980+0043058,44.624207,0.718305,16.925,16.019,15.625
02583724+0043458,44.655205,0.729401,14.198,13.61,13.338
02583541+0044270,44.647573,0.740849,16.277,15.993,15.821
02585706+0042266,44.737769,0.707397,14.327,13.679,13.498
02590435+0042241,44.768143,0.706707,14.941,14.413,14.077
02590477+0042395,44.769901,0.710982,16.371,15.475,15.006
02585091+0042103,44.712162,0.702872,13.232,12.884,12.829
02584679+0042308,44.694994,0.708567,16.059,15.739,15.324
02585140+0043116,44.714177,0.7199,16.114,15.606,15.011
02585610+0043250,44.733767,0.723624,15.036,14.4,14.2
02585498+0043332,44.729108,0.725916,16.72,15.877,15.255
02585617+0044314,44.734062,0.742069,13.594,12.905,12.704
