YSO,MAIN_ID,"RA ( ""h:m:s"" )","DEC ( ""d:m:s"" )",j,h,k
0,2MASS J05364416+3413067,05 36 44.16942,+34 13 06.7433,15.071,14.458,14.199
1,2MASS J05364579+3405598,05 36 45.79831,+34 05 59.7274,14.398,14.025,13.952
0,2MASS J05364664+3406148,05 36 46.64204,+34 06 14.8662,15.485,14.601,14.672
0,2MASS J05364673+3416588,05 36 46.73146,+34 16 58.6892,16.085,15.454,15.198
0,2MASS J05365098+3407010,05 36 50.98449,+34 07 00.9857,14.517,13.919,13.748
0,2MASS J05365195+3404354,05 36 51.94626,+34 04 35.2655,14.468,13.877,13.722
1,2MASS J05365277+3406595,05 36 52.76485,+34 06 59.4321,13.646,13.327,13.267
0,2MASS J05365290+3412133,05 36 52.89628,+34 12 13.2934,13.458,13.065,12.957
0,2MASS J05365716+3401275,05 36 57.15330,+34 01 27.4725,15.803,15.128,14.949
0,2MASS J05365762+3406262,05 36 57.61866,+34 06 26.2741,13.6,13.282,13.208
0,2MASS J05365901+3359190,05 36 59.01600,+33 59 18.9853,15.375,15.056,15.033
1,2MASS J05370057+3403289,05 37 00.56627,+34 03 28.8609,14.494,13.881,13.718
0,2MASS J05370174+3403190,05 37 01.74616,+34 03 19.0431,15.128,14.389,14.223
0,2MASS J05370944+3404339,05 37 09.44224,+34 04 33.9003,15.217,14.55,14.213
1,2MASS J05371127+3413388,05 37 11.27072,+34 13 38.8755,14.14,13.729,13.649
1,2MASS J05371585+3407034,05 37 15.84866,+34 07 03.3436,12.613,12.217,12.102
