YSO,MAIN_ID,"RA ( ""h:m:s"" )","DEC ( ""d:m:s"" )",j,h,k
0,2MASS J10450879-5944365,10 45 08.78623,-59 44 36.4846,14.86,14.34,14.01
0,2MASS J10452150-5940434,10 45 21.48098,-59 40 43.4091,15.72,15.01,14.86
0,2MASS J10452094-5940304,10 45 20.92018,-59 40 30.2901,15.333,14.852,14.654
0,2MASS J10452144-5940341,10 45 21.44317,-59 40 34.0876,15.4,14.62,14.39
1,2MASS J10452448-5942207,10 45 24.47321,-59 42 20.6715,15.011,14.081,
1,2MASS J10444176-5940478,10 44 41.77033,-59 40 47.6489,13.006,12.408,
0,2MASS J10451400-5944260,10 45 14.00924,-59 44 26.1258,14.28,13.81,13.62
0,2MASS J10444624-5939583,10 44 46.23614,-59 39 58.2198,,13.48,
0,2MASS J10451778-5944047,10 45 17.78263,-59 44 04.7804,,,14.65
0,2MASS J10452483-5941260,10 45 24.83889,-59 41 25.8963,13.97,13.26,13.03
0,2MASS J10445276-5944409,10 44 52.76458,-59 44 40.8582,14.18,13.82,13.55
0,2MASS J10451889-5939545,10 45 18.897,-59 39 54.57,14.76,13.76,13.13
0,2MASS J10445091-5944356,10 44 50.911,-59 44 35.65,14.53,13.792,13.47
0,2MASS J10452496-5942454,10 45 24.96165,-59 42 45.4287,14.49,13.72,13.51
1,2MASS J10452211-5943361,10 45 22.11208,-59 43 36.0088,14.79,13.97,13.71
0,2MASS J10452536-5942420,10 45 25.362,-59 42 42.03,15.16,14.57,14.24
0,2MASS J10445928-5944594,10 44 59.28582,-59 44 59.4295,,13.72,
0,2MASS J10445543-5944535,10 44 55.42696,-59 44 53.4641,13.374,12.509,12.177
0,2MASS J10445306-5944482,10 44 53.05628,-59 44 48.2846,14.62,13.98,13.76
0,2MASS J10452152-5940086,10 45 21.51813,-59 40 08.5963,14.7,14.35,14.19
1,2MASS J10445081-5944429,10 44 50.81569,-59 44 42.8550,16.221,15.033,
0,2MASS J10443808-5941313,10 44 38.09335,-59 41 31.3233,13.722,12.937,12.648
0,2MASS J10451979-5939510,10 45 19.78200,-59 39 50.9111,14.89,14.05,13.73
1,2MASS J10443885-5941047,10 44 38.86289,-59 41 04.7158,14.36,13.39,12.55
0,2MASS J10444395-5939557,10 44 43.94448,-59 39 55.5778,14.55,13.75,13.52
1,2MASS J10445008-5944428,10 44 50.08351,-59 44 42.6732,15.37,14.52,14.06
1,2MASS J10451489-5944416,10 45 14.89452,-59 44 41.5698,14.91,14.11,13.81
1,2MASS J10451108-5944571,10 45 11.07123,-59 44 57.1139,13.68,13.22,13
0,2MASS J10451945-5944183,10 45 19.46080,-59 44 18.2161,15.12,14.62,14.24
0,2MASS J10445173-5944528,10 44 51.71366,-59 44 52.6495,15.77,,
1,2MASS J10451881-5944238,10 45 18.81194,-59 44 23.8304,14.41,13.219,12.344
0,2MASS J10451752-5939227,10 45 17.50132,-59 39 22.6509,,14.013,13.704
0,2MASS J10443816-5943114,10 44 38.15910,-59 43 11.2939,13.215,12.463,12.173
0,2MASS J10444929-5944493,10 44 49.29600,-59 44 49.3238,12.731,11.863,11.573
1,2MASS J10452795-5941389,10 45 27.94915,-59 41 38.8977,13.046,12.364,12.176
0,2MASS J10452786-5941270,10 45 27.863,-59 41 27.07,,14.34,14.23
0,2MASS J10452448-5943444,10 45 24.49571,-59 43 44.4294,12.65,12.119,11.88
1,2MASS J10452799-5941223,10 45 27.96,-59 41 22.2,,15.283,14.166
0,2MASS J10452720-5943064,10 45 27.21192,-59 43 06.3645,14.79,14.11,
0,2MASS J10451283-5945040,10 45 12.87445,-59 45 04.2698,13.01,12.03,11.91
1,2MASS J10452819-5941163,10 45 28.19334,-59 41 16.2953,15.479,14.135,
0,2MASS J10452442-5943520,10 45 24.39289,-59 43 52.1862,,15.25,
1,2MASS J10451062-5945126,10 45 10.63591,-59 45 12.5831,11.561,11.089,10.673
0,2MASS J10451514-5939011,10 45 15.12616,-59 39 00.9152,,9.44,
