YSO,MAIN_ID,"RA ( ""h:m:s"" )","DEC ( ""d:m:s"" )",j,h,k
1,2MASS J06320545+0454148,06 32 05.45349,+04 54 14.8447,14.569,13.717,13.43
0,2MASS J06321341+0453302,06 32 13.42,+04 53 30.3,15.208,14.917,14.86
1,2MASS J06321677+0455097,06 32 16.76851,+04 55 09.7373,14.498,13.635,13.327
0,2MASS J06320466+0454514,06 32 04.66166,+04 54 51.5245,13.801,12.92,12.538
1,2MASS J06320474+0455063,06 32 04.74698,+04 55 06.2947,15.484,14.669,14.6
1,2MASS J06320457+0454231,06 32 04.57927,+04 54 23.2464,15.273,14.358,14.136
0,2MASS J06320755+0456151,06 32 07.55335,+04 56 15.2327,14.122,13.328,13.088
1,2MASS J06320811+0453195,06 32 08.10768,+04 53 19.7390,14.857,14.107,13.797
1,2MASS J06321729+0455151,06 32 17.28568,+04 55 15.2087,14.903,14.079,13.856
0,2MASS J06320783+0453180,06 32 07.84717,+04 53 18.2402,14.865,14.35,14.03
0,2MASS J06320507+0455468,06 32 05.07831,+04 55 46.9008,14.684,13.457,12.551
0,2MASS J06321554+0453359,06 32 15.53943,+04 53 35.9908,14.775,13.914,13.745
1,2MASS J06321451+0456175,06 32 14.51203,+04 56 17.4820,12.385,11.996,11.936
1,2MASS J06321711+0454065,06 32 17.10848,+04 54 06.6205,14.641,13.786,13.528
1,2MASS J06321187+0456333,06 32 11.87423,+04 56 33.3553,14.922,14.115,13.704
0,2MASS J06321221+0456327,06 32 12.21424,+04 56 32.7910,14.833,14.054,13.721
1,2MASS J06320916+0456379,06 32 09.16980,+04 56 37.9884,15.873,15.171,14.863
1,2MASS J06320492+0456001,06 32 04.93181,+04 56 00.2319,15.144,14.391,14.16
1,2MASS J06320885+0456405,06 32 08.85814,+04 56 40.5939,16.23,15.703,15.46
1,2MASS J06321346+0456377,06 32 13.46203,+04 56 37.7545,15.204,14.461,14.172
1,2MASS J06321690+0453344,06 32 16.90478,+04 53 34.4888,14.738,13.877,13.683
1,2MASS J06320511+0453262,06 32 05.11624,+04 53 26.2650,15.655,14.871,14.592
1,2MASS J06320991+0456498,06 32 09.91171,+04 56 49.9337,15.202,14.42,14.049
1,2MASS J06320227+0454282,06 32 02.28652,+04 54 28.2620,15.914,14.975,14.707
0,2MASS J06320932+0452413,06 32 09.32592,+04 52 41.4049,14.295,13.455,13.221
1,2MASS J06320357+0456055,06 32 03.56331,+04 56 05.6752,15.886,15.24,14.802
0,2MASS J06321088+0457061,06 32 10.88955,+04 57 06.2074,14.403,13.62,13.388
1,2MASS J06320289+0455577,06 32 02.89649,+04 55 57.8134,15.123,14.411,14.037
1,2MASS J06321437+0456580,06 32 14.37649,+04 56 58.1087,15.275,14.341,14.15
0,2MASS J06320149+0454450,06 32 01.49677,+04 54 45.0695,14.569,13.656,13.124
0,2MASS J06320150+0455021,06 32 01.50760,+04 55 02.2278,15.148,14.444,14.134
0,2MASS J06321757+0453082,06 32 17.57450,+04 53 08.2679,14.002,13.123,12.689
1,2MASS J06320110+0454497,06 32 01.10778,+04 54 49.8036,14.392,13.672,13.351
1,2MASS J06320106+0454307,06 32 01.06363,+04 54 30.8653,16.629,15.396,14.959
0,2MASS J06320115+0455274,06 32 01.16626,+04 55 27.2962,14.148,13.344,13.143
0,2MASS J06320781+0452284,06 32 07.82055,+04 52 28.4802,14.03,13.208,12.764
1,2MASS J06320358+0456363,06 32 03.58931,+04 56 36.4057,15.186,14.443,14.173
0,2MASS J06320183+0453386,06 32 01.83437,+04 53 38.6406,14.262,13.32,12.906
1,2MASS J06320123+0453572,06 32 01.21876,+04 53 57.7041,16.565,15.93,15.46
1,2MASS J06320067+0455108,06 32 00.68264,+04 55 10.8918,15.116,14.231,13.788
0,2MASS J06321234+0457217,06 32 12.34009,+04 57 21.8096,15.176,14.072,13.443
1,2MASS J06321284+0452191,06 32 12.85481,+04 52 19.2292,15.701,15.028,14.979
1,2MASS J06320910+0452172,06 32 09.06561,+04 52 16.4991,16.173,15.76,15.45
1,2MASS J06321421+0452210,06 32 14.21347,+04 52 21.1083,14.793,13.825,13.653
1,2MASS J06320166+0456097,06 32 01.65873,+04 56 09.8538,15.227,14.371,14.067
1,2MASS J06315984+0454495,06 31 59.85294,+04 54 49.5581,14.716,14.013,13.782
0,2MASS J06321036+0452058,06 32 10.36726,+04 52 05.8820,15.246,14.21,13.833
1,2MASS J06320957+0457342,06 32 09.56822,+04 57 34.2916,15.216,14.239,13.899
0,2MASS J06320506+0452267,06 32 05.07141,+04 52 26.7177,14.898,14.07,13.917
0,2MASS J06322031+0453208,06 32 20.33458,+04 53 20.7426,16.15,15.706,15.241
0,2MASS J06315969+0455359,06 31 59.69667,+04 55 35.9998,14.366,13.576,13.293
1,2MASS J06320129+0456282,06 32 01.29949,+04 56 28.3640,14.953,14.13,13.866
1,2MASS J06320088+0453214,06 32 00.87845,+04 53 21.5376,13.943,13.107,12.846
0,2MASS J06320592+0457276,06 32 05.92733,+04 57 27.6798,13.449,12.502,12.068
0,2MASS J06315944+0453575,06 31 59.44602,+04 53 57.5690,12.731,11.968,11.748
0,2MASS J06315911+0455259,06 31 59.12622,+04 55 25.9366,13.733,12.866,12.561
0,2MASS J06320544+0457299,06 32 05.44413,+04 57 30.0197,13.888,13.066,12.788
0,2MASS J06315888+0455047,06 31 58.88720,+04 55 04.7610,13.306,12.403,12.128
1,2MASS J06322253+0454147,06 32 22.52799,+04 54 14.7363,15.098,14.338,13.847
1,2MASS J06322077+0453033,06 32 20.77505,+04 53 03.3561,13.287,13.023,12.984
1,2MASS J06315889+0455356,06 31 58.89094,+04 55 35.6549,13.216,12.549,12.301
0,2MASS J06322079+0452581,06 32 20.78741,+04 52 58.2499,14.216,13.411,13.274
1,2MASS J06321259+0451448,06 32 12.58737,+04 51 44.8459,15.299,14.367,14.1
0,2MASS J06321025+0457594,06 32 10.22427,+04 57 59.3456,8.106,,8.036
1,2MASS J06315821+0455201,06 31 58.22103,+04 55 20.1233,15.353,14.471,14.034
1,2MASS J06320528+0457425,06 32 05.28618,+04 57 42.5656,14.61,13.782,13.502
0,2MASS J06315873+0453468,06 31 58.73128,+04 53 46.8432,15.676,14.596,14.014
1,2MASS J06320058+0456459,06 32 00.58293,+04 56 46.0119,15.4,14.537,14.137
1,2MASS J06320251+0452237,06 32 02.52181,+04 52 23.8341,15.333,14.754,14.438
1,2MASS J06322242+0456122,06 32 22.41869,+04 56 12.1891,15.619,14.642,14.509
0,2MASS J06320031+0456429,06 32 00.31041,+04 56 42.9672,14.89,14.095,13.844
0,2MASS J06315809+0454149,06 31 58.09735,+04 54 15.0185,16.183,14.676,13.719
1,2MASS J06320472+0451572,06 32 04.72154,+04 51 57.3119,15.403,14.453,14.333
1,2MASS J06315811+0455392,06 31 58.11357,+04 55 39.1809,15.547,14.72,14.366
1,2MASS J06321098+0458071,06 32 10.989,+04 58 07.14,15.37,14.97,14.537
1,2MASS J06315781+0454165,06 31 57.81653,+04 54 16.4566,15.379,14.697,14.353
1,2MASS J06320512+0457488,06 32 05.12319,+04 57 48.8809,15.268,14.391,14.245
0,2MASS J06321064+0451326,06 32 10.65067,+04 51 32.7320,14.2,13.407,13.137
1,2MASS J06320045+0452467,06 32 00.45085,+04 52 46.6857,13.141,12.257,11.617
0,2MASS J06322392+0454210,06 32 23.91458,+04 54 21.0347,15.729,14.817,14.505
1,2MASS J06315758+0455224,06 31 57.57468,+04 55 22.5422,16.695,15.701,15.32
1,2MASS J06315767+0454030,06 31 57.67573,+04 54 03.1202,14.439,13.731,13.407
1,2MASS J06321800+0457411,06 32 18.01029,+04 57 41.0969,15.089,14.173,13.921
1,2MASS J06322209+0456410,06 32 22.09687,+04 56 41.0610,15.057,14.081,13.753
1,2MASS J06320220+0452144,06 32 02.20572,+04 52 14.4621,15.168,14.131,13.925
0,2MASS J06315708+0454363,06 31 57.08725,+04 54 36.4249,14.392,13.529,13.338
0,2MASS J06321932+0457341,06 32 19.32504,+04 57 34.1434,13.636,12.775,12.525
0,2MASS J06315687+0455146,06 31 56.87003,+04 55 14.7550,14.658,13.875,13.557
0,2MASS J06315757+0453390,06 31 57.57669,+04 53 39.0355,15.458,14.236,13.682
1,2MASS J06321584+0458072,06 32 15.84121,+04 58 07.3449,15.126,14.202,13.873
1,2MASS J06320435+0457581,06 32 04.344,+04 57 58.08,12.954,12.477,12.369
1,2MASS J06315833+0453107,06 31 58.33233,+04 53 10.8068,15.635,14.819,14.576
1,2MASS J06315721+0453491,06 31 57.21794,+04 53 49.2197,14.893,13.966,13.628
1,2MASS J06315775+0456141,06 31 57.75976,+04 56 14.2135,15.862,14.802,14.51
0,2MASS J06315733+0453421,06 31 57.34211,+04 53 42.3408,13.958,13.091,12.824
0,2MASS J06315653+0454283,06 31 56.53525,+04 54 28.3860,14.765,13.982,13.695
0,2MASS J06321645+0451332,06 32 16.45012,+04 51 33.2790,15.243,14.683,14.53
0,2MASS J06322512+0455145,06 32 25.123,+04 55 14.54,14.38,13.563,13.084
1,2MASS J06321951+0457423,06 32 19.51292,+04 57 42.2952,14.837,13.896,13.402
1,2MASS J06322495+0455362,06 32 24.95,+04 55 36.2,15.143,14.648,14.503
0,2MASS J06320102+0457317,06 32 01.02538,+04 57 31.7545,14.874,13.633,13.39
0,2MASS J06315678+0453510,06 31 56.78700,+04 53 51.0884,14.699,13.873,13.615
1,2MASS J06315691+0453442,06 31 56.91712,+04 53 44.2125,15.744,15.107,15.08
1,2MASS J06315621+0454379,06 31 56.214,+04 54 37.90,14.243,13.294,12.692
1,2MASS J06315665+0453544,06 31 56.66261,+04 53 54.4336,15.635,14.725,14.33
0,2MASS J06315803+0456374,06 31 58.03225,+04 56 37.5355,15.389,14.903,14.752
1,2MASS J06315873+0457000,06 31 58.732,+04 57 00.10,16.392,14.838,13.858
1,2MASS J06315649+0455523,06 31 56.49700,+04 55 52.3797,15.797,14.933,14.611
1,2MASS J06320249+0457567,06 32 02.51903,+04 57 56.7750,16.428,15.856,15.443
0,2MASS J06321998+0457483,06 32 19.98004,+04 57 48.4354,16.498,15.08,14.696
1,2MASS J06320053+0452039,06 32 00.54315,+04 52 03.9735,16.162,15.486,14.946
0,2MASS J06321419+0458314,06 32 14.19293,+04 58 31.4913,14.739,13.916,13.638
0,2MASS J06315962+0452168,06 31 59.62615,+04 52 16.8342,14.161,13.353,13.16
1,2MASS J06320156+0457537,06 32 01.56780,+04 57 53.9061,14.374,13.828,13.629
0,2MASS J06322340+0452392,06 32 23.41897,+04 52 39.2263,13.879,13.012,12.692
0,2MASS J06321286+0458379,06 32 12.86460,+04 58 38.1978,14.546,13.777,13.575
1,2MASS J06315614+0456027,06 31 56.14254,+04 56 02.7813,14.871,14.062,13.793
1,2MASS J06315872+0457168,06 31 58.72453,+04 57 16.8690,15.777,14.731,13.923
0,2MASS J06322025+0457557,06 32 20.25824,+04 57 55.6629,14.063,13.193,12.94
0,2MASS J06315692+0453019,06 31 56.92658,+04 53 02.0295,14.515,13.563,13.179
1,2MASS J06321750+0451170,06 32 17.50043,+04 51 17.1090,13.279,12.632,12.445
0,2MASS J06320447+0458261,06 32 04.47041,+04 58 26.2186,14.885,13.959,13.706
0,2MASS J06322401+0456592,06 32 24.01021,+04 56 59.1879,14.971,14.072,13.71
1,2MASS J06320828+0450564,06 32 08.28545,+04 50 56.4881,14.461,13.603,13.344
1,2MASS J06320155+0458054,06 32 01.54544,+04 58 05.3951,15.352,14.598,14.285
1,2MASS J06315487+0455417,06 31 54.87500,+04 55 41.7246,14.842,14.145,13.785
1,2MASS J06315476+0454000,06 31 54.76515,+04 54 00.0410,15.11,14.274,13.919
0,2MASS J06315525+0453299,06 31 55.24886,+04 53 29.9282,14.096,13.316,13.111
1,2MASS J06315497+0455580,06 31 54.97411,+04 55 58.2577,15.185,14.44,14.167
0,2MASS J06315891+0457431,06 31 58.92059,+04 57 43.1420,15.204,14.383,14.001
1,2MASS J06315961+0457538,06 31 59.63500,+04 57 53.7220,16.687,15.947,15.56
1,2MASS J06315725+0452238,06 31 57.25585,+04 52 23.8326,14.903,14.107,13.836
1,2MASS J06322371+0457304,06 32 23.711,+04 57 30.44,15.883,15.161,14.8
1,2MASS J06322442+0452225,06 32 24.41628,+04 52 22.6466,12.872,12.225,12.074
0,2MASS J06315502+0453208,06 31 55.02665,+04 53 20.8325,14.212,13.328,13.102
1,2MASS J06315596+0456508,06 31 55.96354,+04 56 50.7945,15.94,15.308,14.955
1,2MASS J06315431+0453532,06 31 54.30934,+04 53 53.3479,15.224,14.335,13.981
1,2MASS J06320723+0450425,06 32 07.24134,+04 50 42.9640,16.501,15.741,15.44
1,2MASS J06315632+0457024,06 31 56.32801,+04 57 02.4817,14.878,14.081,13.791
1,2MASS J06315622+0457083,06 31 56.225,+04 57 08.37,15.169,14.34,14.005
1,2MASS J06315929+0451375,06 31 59.29577,+04 51 37.5939,15.057,14.254,14.002
0,2MASS J06320801+0450335,06 32 08.01870,+04 50 33.6008,13.933,13.088,12.806
1,2MASS J06321204+0459126,06 32 12.03593,+04 59 12.7278,14.915,14.374,14.019
1,2MASS J06315358+0453470,06 31 53.583,+04 53 47.02,15.489,14.597,14.398
0,2MASS J06322270+0458082,06 32 22.70502,+04 58 08.3254,15.048,14.198,13.645
1,2MASS J06315811+0457595,06 31 58.12279,+04 57 59.5522,14.96,14.151,13.868
0,2MASS J06315889+0458110,06 31 58.89545,+04 58 11.1306,14.977,14.212,13.704
1,2MASS J06315304+0455367,06 31 53.04729,+04 55 36.7978,14.248,13.417,13.196
0,2MASS J06322658+0452383,06 32 26.57253,+04 52 38.3143,14.901,13.914,13.589
1,2MASS J06315448+0456471,06 31 54.48423,+04 56 47.1889,13.958,13.277,12.992
0,2MASS J06320292+0458540,06 32 02.92930,+04 58 53.9875,14.372,13.588,13.341
0,2MASS J06322034+0458417,06 32 20.34586,+04 58 41.7509,13.86,13.065,12.78
0,2MASS J06321474+0450236,06 32 14.73777,+04 50 23.6833,13.794,12.906,12.676
1,2MASS J06315351+0456211,06 31 53.51772,+04 56 21.1647,14.691,13.809,13.443
1,2MASS J06322484+0457462,06 32 24.84338,+04 57 46.3210,12.613,12.175,12.075
1,2MASS J06320175+0458489,06 32 01.75494,+04 58 48.9659,14.717,14.216,14.153
1,2MASS J06320992+0450149,06 32 09.91768,+04 50 15.0173,14.583,13.701,13.46
1,2MASS J06321108+0459261,06 32 11.089,+04 59 26.12,14.302,13.473,13.308
0,2MASS J06322750+0452513,06 32 27.49666,+04 52 51.3148,14.791,13.81,13.291
1,2MASS J06315316+0453262,06 31 53.16384,+04 53 26.2357,14.59,13.84,13.648
1,2MASS J06320935+0450144,06 32 09.35176,+04 50 14.4868,15.222,14.332,14.066
1,2MASS J06315341+0456277,06 31 53.40942,+04 56 27.8079,15.235,14.36,14.035
1,2MASS J06315212+0454520,06 31 52.11737,+04 54 52.1276,15.905,14.946,14.595
1,2MASS J06315303+0456171,06 31 53.02520,+04 56 17.2150,14.675,13.87,13.495
1,2MASS J06320117+0450489,06 32 01.17701,+04 50 48.9525,14.673,13.711,13.491
0,2MASS J06321616+0459199,06 32 16.16076,+04 59 20.0647,14.761,13.856,13.535
1,2MASS J06315582+0457411,06 31 55.820,+04 57 41.14,15.938,15.084,17.234
1,2MASS J06315655+0457560,06 31 56.56432,+04 57 56.0349,16.116,15.261,14.952
1,2MASS J06321554+0450155,06 32 15.54547,+04 50 15.5970,14.162,13.281,13.011
0,2MASS J06315200+0454083,06 31 52.00838,+04 54 08.3713,14.633,13.834,13.41
1,2MASS J06315897+0458327,06 31 58.96895,+04 58 32.7630,15.756,14.929,14.631
1,2MASS J06315194+0455270,06 31 51.94303,+04 55 27.0301,15.178,14.316,13.992
1,2MASS J06315426+0457117,06 31 54.26459,+04 57 11.8072,14.253,13.461,13.014
1,2MASS J06315455+0457213,06 31 54.54785,+04 57 21.4146,14.075,13.263,12.952
1,2MASS J06321077+0450021,06 32 10.77822,+04 50 02.1400,14.951,14.424,14.319
1,2MASS J06315713+0451238,06 31 57.13284,+04 51 23.8448,14.599,13.669,13.321
0,2MASS J06323012+0455221,06 32 30.12575,+04 55 22.1604,15.221,14.12,13.594
1,2MASS J06315135+0454346,06 31 51.35632,+04 54 34.6221,16.302,15.67,15.368
0,2MASS J06322882+0452559,06 32 28.81494,+04 52 56.0034,16.174,15.107,14.865
1,2MASS J06322806+0452296,06 32 28.05162,+04 52 29.7392,15.584,14.471,13.813
1,2MASS J06320867+0459423,06 32 08.67696,+04 59 42.4347,15.815,14.961,14.402
0,2MASS J06323020+0454012,06 32 30.20724,+04 54 01.2630,15.55,14.586,13.858
1,2MASS J06315811+0451035,06 31 58.11562,+04 51 03.6259,15.386,14.41,14.16
1,2MASS J06315220+0456457,06 31 52.19975,+04 56 45.7757,16.178,15.354,14.954
1,2MASS J06315582+0451273,06 31 55.82064,+04 51 27.3221,14.243,13.424,13.17
0,2MASS J06315884+0458574,06 31 58.84879,+04 58 57.4802,14.651,13.771,13.512
1,2MASS J06315407+0457451,06 31 54.07383,+04 57 45.1728,15.433,14.692,14.326
1,2MASS J06315492+0451360,06 31 54.92790,+04 51 36.1172,15.152,14.241,14.037
1,2MASS J06315521+0458098,06 31 55.215,+04 58 09.89,16.005,15.347,14.877
0,2MASS J06315220+0452400,06 31 52.20772,+04 52 40.0273,15.234,14.43,13.965
1,2MASS J06315359+0457397,06 31 53.59245,+04 57 39.7244,15.746,15.092,14.672
0,2MASS J06320817+0449446,06 32 08.17667,+04 49 44.6921,14.513,13.604,13.252
1,2MASS J06315726+0458429,06 31 57.26049,+04 58 43.0051,14.033,13.281,13.018
0,2MASS J06322576+0458232,06 32 25.76664,+04 58 23.2525,14.358,13.491,13.229
0,2MASS J06323150+0454533,06 32 31.49953,+04 54 53.3116,15.803,14.754,14.115
1,2MASS J06315358+0457476,06 31 53.58242,+04 57 47.7084,15.19,14.531,14.161
1,2MASS J06321512+0459574,06 32 15.12365,+04 59 57.5163,14.49,13.672,13.364
1,2MASS J06315085+0453106,06 31 50.86963,+04 53 10.6702,16.549,15.614,15.61
1,2MASS J06315056+0456253,06 31 50.56812,+04 56 25.3220,15.141,14.241,13.772
0,2MASS J06321382+0449364,06 32 13.82808,+04 49 36.5475,13.851,13.074,12.811
1,2MASS J06315072+0453048,06 31 50.725,+04 53 04.87,14.453,13.587,13.248
1,2MASS J06314964+0454088,06 31 49.63983,+04 54 08.9501,15.613,14.892,14.508
1,2MASS J06320459+0459556,06 32 04.59562,+04 59 55.6740,15.458,14.7,14.371
1,2MASS J06314947+0455179,06 31 49.46931,+04 55 17.8961,15.905,15.026,14.658
0,2MASS J06320365+0459520,06 32 03.65475,+04 59 52.1273,15.889,14.912,14.695
1,2MASS J06315942+0459234,06 31 59.43010,+04 59 23.5059,15.464,14.584,14.339
0,2MASS J06315044+0456382,06 31 50.44145,+04 56 38.3458,13.795,13.038,12.783
1,2MASS J06315705+0450405,06 31 57.059,+04 50 40.55,16.162,15.161,15.27
0,2MASS J06321667+0449382,06 32 16.66926,+04 49 38.2651,14.231,13.414,13.063
0,2MASS J06322669+0458313,06 32 26.69391,+04 58 31.3550,13.103,12.346,12.184
0,2MASS J06323005+0457262,06 32 30.04993,+04 57 26.2711,14.989,14.153,14.014
0,2MASS J06323276+0454128,06 32 32.76341,+04 54 12.8591,12.229,11.263,10.938
0,2MASS J06314900+0455470,06 31 49.00139,+04 55 47.0286,15.626,14.726,14.111
0,2MASS J06314872+0455209,06 31 48.72028,+04 55 21.0004,14.588,13.742,13.412
1,2MASS J06320325+0500023,06 32 03.25809,+05 00 02.3652,14.958,14.214,14.203
1,2MASS J06315075+0457157,06 31 50.74557,+04 57 15.8248,15.681,14.855,14.577
1,2MASS J06315131+0457324,06 31 51.30893,+04 57 32.6496,15.503,14.652,14.323
0,2MASS J06320047+0459468,06 32 00.48041,+04 59 46.8902,14.52,13.68,13.47
1,2MASS J06315279+0458102,06 31 52.81202,+04 58 10.2298,16.206,15.842,15.23
1,2MASS J06315117+0452073,06 31 51.17924,+04 52 07.4855,15.872,14.982,14.749
1,2MASS J06320789+0449165,06 32 07.88959,+04 49 16.7328,13.749,13.009,12.76
0,2MASS J06314889+0456092,06 31 48.88961,+04 56 09.2962,14.807,14.002,13.566
1,2MASS J06315050+0452220,06 31 50.50157,+04 52 22.0153,15.728,15.161,14.757
1,2MASS J06315630+0450306,06 31 56.307,+04 50 30.60,13.902,13.063,12.64
0,2MASS J06314879+0453261,06 31 48.79796,+04 53 26.0719,15.521,14.963,14.894
1,2MASS J06314902+0453092,06 31 49.02526,+04 53 09.2382,15.961,15.326,14.851
0,2MASS J06321198+0500309,06 32 11.98432,+05 00 30.9969,16.099,14.487,13.575
0,2MASS J06315937+0449549,06 31 59.371,+04 49 54.94,15.098,14.16,13.819
0,2MASS J06315256+0458172,06 31 52.55967,+04 58 17.3430,14.566,13.839,13.519
0,2MASS J06323328+0455589,06 32 33.28484,+04 55 58.9819,15.522,14.624,14.354
1,2MASS J06314778+0455117,06 31 47.77929,+04 55 11.8836,16.036,15.09,14.777
1,2MASS J06315383+0458466,06 31 53.83588,+04 58 46.7993,16.045,15.281,14.946
0,2MASS J06314925+0457008,06 31 49.25603,+04 57 00.9365,13.7,12.847,12.269
1,2MASS J06315035+0457390,06 31 50.35087,+04 57 39.0332,14.784,14.032,13.697
0,2MASS J06315148+0451320,06 31 51.483,+04 51 32.07,13.398,12.573,12.195
1,2MASS J06314742+0454207,06 31 47.42420,+04 54 20.7910,14.909,14.09,13.737
0,2MASS J06323266+0457009,06 32 32.66428,+04 57 01.0421,15.437,14.67,14.346
0,2MASS J06315043+0451501,06 31 50.43078,+04 51 50.1820,14.224,13.339,12.796
1,2MASS J06321533+0500375,06 32 15.33483,+05 00 37.6226,15.779,15.187,14.912
1,2MASS J06314743+0453314,06 31 47.43644,+04 53 31.5054,14.264,13.465,13.188
0,2MASS J06322311+0449431,06 32 23.10911,+04 49 43.2721,13.649,12.7,12.286
0,2MASS J06321871+0500295,06 32 18.71014,+05 00 29.5607,15.351,14.513,14.141
0,2MASS J06321482+0448553,06 32 14.81556,+04 48 55.4164,14.372,13.577,13.343
0,2MASS J06322527+0450022,06 32 25.27518,+04 50 02.3243,15.358,14.334,13.557
1,2MASS J06314951+0452000,06 31 49.51962,+04 52 00.0629,15.281,14.458,14.273
0,2MASS J06314830+0452387,06 31 48.30972,+04 52 38.8033,14.71,13.935,13.364
1,2MASS J06321984+0500291,06 32 19.84596,+05 00 29.1094,15.927,14.871,14.666
0,2MASS J06321803+0449020,06 32 18.02748,+04 49 02.0501,13.914,13.103,12.828
0,2MASS J06314769+0456497,06 31 47.69817,+04 56 49.8033,14.228,13.387,13.127
1,2MASS J06314648+0454032,06 31 46.49210,+04 54 03.2916,15.374,14.519,14.214
1,2MASS J06321196+0500565,06 32 11.970,+05 00 56.52,15.021,14.385,14.087
1,2MASS J06314803+0457071,06 31 48.02968,+04 57 07.1943,15.254,14.52,13.908
1,2MASS J06315092+0451129,06 31 50.92838,+04 51 12.9871,14.876,14,13.753
1,2MASS J06314609+0454446,06 31 46.08739,+04 54 44.6582,15.692,14.827,14.515
0,2MASS J06320648+0448464,06 32 06.48847,+04 48 46.5473,14.792,13.873,13.565
0,2MASS J06314606+0454307,06 31 46.06951,+04 54 30.7651,14.001,13.176,12.874
1,2MASS J06314683+0453146,06 31 46.835,+04 53 14.63,14.211,13.303,13.039
1,2MASS J06314611+0455283,06 31 46.10888,+04 55 28.3203,16.192,15.225,14.88
1,2MASS J06314699+0456365,06 31 46.99605,+04 56 36.6011,14.762,13.775,13.414
1,2MASS J06314624+0453423,06 31 46.24942,+04 53 42.2931,15.669,14.642,14.186
0,2MASS J06314779+0452238,06 31 47.79244,+04 52 23.9476,15.149,14.101,13.367
