YSO,MAIN_ID,"RA ( ""h:m:s"" )","DEC ( ""d:m:s"" )",j,h,k
0,2MASS J06321091+0455024,06 32 10.91746,+04 55 02.5131,14.637,13.789,13.42
0,2MASS J06321195+0455138,06 32 11.94721,+04 55 13.8868,15.635,14.532,14.305
1,2MASS J06320880+0454575,06 32 08.80418,+04 54 57.6197,14.568,13.713,13.417
0,2MASS J06321170+0455201,06 32 11.70822,+04 55 20.2433,15.558,14.808,14.369
1,2MASS J06321231+0454182,06 32 12.30971,+04 54 18.2697,16.368,15.233,15.1
1,2MASS J06320797+0454582,06 32 07.97781,+04 54 58.2781,15.051,14.155,13.83
1,2MASS J06321347+0454229,06 32 13.48512,+04 54 22.9530,15.558,14.777,14.392
0,2MASS J06320766+0454336,06 32 07.66524,+04 54 33.6409,14.604,13.794,13.493
1,2MASS J06320712+0454599,06 32 07.13776,+04 55 00.0223,15.838,15.109,14.893
1,2MASS J06321229+0455421,06 32 12.30064,+04 55 42.2448,15.931,15.035,15.16
0,2MASS J06320716+0455144,06 32 07.16444,+04 55 14.4441,16.272,15.292,14.615
1,2MASS J06321358+0454062,06 32 13.582,+04 54 06.24,15.327,14.59,14.235
1,2MASS J06321491+0454432,06 32 14.90720,+04 54 43.3207,15.979,15.318,14.873
1,2MASS J06320962+0455569,06 32 09.61845,+04 55 56.8088,11.4,11.227,11.08
1,2MASS J06321040+0456009,06 32 10.41907,+04 56 00.8839,13.821,13.132,12.883
1,2MASS J06321268+0453439,06 32 12.67860,+04 53 43.9274,16.088,15.348,14.896
0,2MASS J06320669+0455305,06 32 06.69649,+04 55 30.6105,13.57,12.725,12.449
1,2MASS J06320752+0455477,06 32 07.53190,+04 55 47.8736,15.814,15.169,14.764
1,2MASS J06320654+0454080,06 32 06.54649,+04 54 08.1228,15.219,14.487,13.988
1,2MASS J06320634+0454017,06 32 06.34318,+04 54 01.7541,15.653,14.823,14.544
1,2MASS J06321265+0453306,06 32 12.657,+04 53 30.70,15.022,14.129,13.774
1,2MASS J06321076+0453259,06 32 10.76844,+04 53 25.9773,15.988,15.08,14.909
1,2MASS J06320892+0453300,06 32 08.92693,+04 53 30.0941,14.369,13.47,13.102
